比赛日期,比赛,比赛场次,比赛小场,对阵双方,获胜方,比赛时长,一血得主,第一座塔得主,蓝方名称,蓝方ban英雄1,蓝方ban英雄2,蓝方ban英雄3,,蓝方ban英雄4,蓝方ban英雄5,蓝方ban英雄,蓝方总击杀,蓝方击杀大龙,蓝方击杀小龙,蓝方推塔数,蓝方总金钱,红方名称,红方ban英雄1,红方ban英雄2,红方ban英雄3,红方ban英雄4,红方ban英雄5,红方ban英雄6,红方总击杀,红方击杀大龙,红方击杀小龙,红方推塔数,红方总金钱
2017.03.17	,2017职业联赛	,第六周	,第三场	,IG vs QG	,IG	,37分24秒	,IGMegan	,IGKidKid	,IG	,青钢影-卡蜜尔	,符文法师-瑞兹	,天启者-卡尔玛	,64	,104	,15	,1	,4	,8	,69785	,QG	,未来守护者-杰斯	,诡术妖姬-乐芙兰	,暗黑元首-辛德拉	,110	,22	,8	,0	,0	,1	,58382	
2017.03.17	,2017职业联赛	,第六周	,第一场	,IG vs QG	,QG	,37分30秒	,QGClid	,IGMegan	,IG	,虚空先知-玛尔扎哈	,青钢影-卡蜜尔	,符文法师-瑞兹	,98	,202	,8	,0	,1	,4	,61511	,QG	,暗黑元首-辛德拉	,未来守护者-杰斯	,诡术妖姬-乐芙兰	,61	,163	,12	,1	,3	,7	,68110	
2017.03.17	,2017职业联赛	,第六周	,第三场	,Newbee vs IM	,Newbee	,52分44秒	,NBSwift	,NBMor	,Newbee	,符文法师-瑞兹	,青钢影-卡蜜尔	,惩戒之箭-韦鲁斯	,8	,22	,21	,2	,2	,10	,97010	,IM	,未来守护者-杰斯	,诡术妖姬-乐芙兰	,虚空先知-玛尔扎哈	,91	,202	,19	,0	,3	,6	,92291	
2017.03.17	,2017职业联赛	,第六周	,第二场	,Newbee vs IM	,Newbee	,33分26秒	,NBSwift	,NBSkye	,Newbee	,符文法师-瑞兹	,青钢影-卡蜜尔	,惩戒之箭-韦鲁斯	,103	,8	,24	,1	,3	,11	,70919	,IM	,未来守护者-杰斯	,机械公敌-兰博	,诡术妖姬-乐芙兰	,15	,22	,12	,0	,0	,2	,55539	
2017.03.17	,2017职业联赛	,第六周	,第二场	,IG vs QG	,IG	,35分30秒	,IGKidKid	,QG	,IG	,未来守护者-杰斯	,暗黑元首-辛德拉	,酒桶-古拉加斯	,61	,163	,5	,0	,2	,0	,53076	,QG	,诡术妖姬-乐芙兰	,惩戒之箭-韦鲁斯	,青钢影-卡蜜尔	,98	,8	,23	,2	,2	,10	,72477	
2017.03.17	,2017职业联赛	,第六周	,第一场	,Newbee vs IM	,IM	,38分44秒	,NBSwift	,NBLwx	,Newbee	,符文法师-瑞兹	,猩红收割者-弗拉基米尔	,深海泰坦-诺提勒斯	,26	,202	,8	,0	,0	,2	,63398	,IM	,未来守护者-杰斯	,机械公敌-兰博	,诡术妖姬-乐芙兰	,91	,90	,17	,2	,4	,11	,78261	
2017.03.16	,2017职业联赛	,第六周	,第一场	,WE vs LGD	,WE	,28分46秒	,WE957	,WECondi	,WE	,机械公敌-兰博	,惩戒之箭-韦鲁斯	,未来守护者-杰斯	,164	,238	,20	,1	,2	,11	,59848	,LGD	,诡术妖姬-乐芙兰	,符文法师-瑞兹	,虚空先知-玛尔扎哈	,91	,98	,2	,0	,0	,0	,39154	
2017.03.16	,2017职业联赛	,第六周	,第三场	,OMG vs EDG	,OMG	,38分17秒	,EDGKoro1	,EDGZet	,OMG	,暗黑元首-辛德拉	,诡术妖姬-乐芙兰	,惩戒之箭-韦鲁斯	,13	,238	,24	,1	,2	,9	,74972	,EDG	,法外狂徒-格雷福斯	,傲之追猎者-雷恩加尔	,暮光之眼-慎	,115	,202	,18	,0	,1	,2	,62911	
2017.03.16	,2017职业联赛	,第六周	,第二场	,OMG vs EDG	,EDG	,35分24秒	,OMGJueJue	,EDGZet	,OMG	,暮光之眼-慎	,法外狂徒-格雷福斯	,影流之主-劫	,202	,61	,28	,1	,3	,11	,72034	,EDG	,暗黑元首-辛德拉	,诡术妖姬-乐芙兰	,惩戒之箭-韦鲁斯	,68	,13	,14	,0	,1	,1	,59507	
2017.03.16	,2017职业联赛	,第六周	,第一场	,OMG vs EDG	,OMG	,35分1秒	,EDGFireloli	,EDGZet	,OMG	,暗黑元首-辛德拉	,诡术妖姬-乐芙兰	,惩戒之箭-韦鲁斯	,22	,202	,22	,1	,4	,8	,67212	,EDG	,暮光之眼-慎	,法外狂徒-格雷福斯	,盲僧-李青	,43	,68	,12	,0	,0	,3	,58883	
