Jax,0.060843605227382393,0.012282050446715936,1396
Twisted Fate,0.018783143776915978,-0.0080403395076825267,1198
Shaco,0.074515839318479452,0.029179242878130791,804
Warwick,-0.00086779864915937721,0.008732083357982404,1150
Xayah,-0.091516815159985249,0.00054317419330765959,220
Nidalee,-0.10023794181771997,-0.014713426446098046,310
Zyra,-0.025273054694033414,-0.013900568585745843,858
Kled,-0.071342550902221274,-0.011935432462778546,473
Brand,0.031035995497298876,0.0017852120079162115,1399
Rammus,0.094870906886159304,-0.0058140407932981879,275
Illaoi,0.021271064369273812,0.0032383010965576615,356
Corki,-0.0053136347372851169,0.0083717102491408981,159
Braum,0.027986235916622741,-0.015370030852097188,1043
Anivia,0.2138588320828779,0.011600507417703949,577
Tryndamere,0.050300522449491167,0.03646722396936275,943
Kha'Zix,-0.048663540852011709,0.019088234090463171,1237
Yorick,-0.075127515721504848,0.031779535240822138,208
Xerath,-0.000911247218316929,0.0037890824505414193,418
Sivir,-0.0087053387245127935,0.0049841955441105833,431
Riven,-0.057042906671610771,2.4526800250378667e-05,1561
Orianna,-0.069424995179005161,0.005783571246548512,1749
Gangplank,0.0051438003644730494,0.0066647834869545276,1567
Malphite,0.015807514134311303,-0.028185152458798053,1243
Miss Fortune,-0.018400866601590224,0.0084531002692515046,1062
Poppy,-0.014930134749578635,-0.0061385478470041641,364
Vel'Koz,0.0028270218171643942,0.030540708446799156,580
Karthus,-0.13468577977789825,-0.0035798772968678133,186
Jayce,-0.025854010805449416,0.02681544524620395,836
Diana,-0.19210314183823982,0.039386167280912487,438
Trundle,-0.04547713108824096,0.0054847101857244908,345
Sejuani,-0.018813388566030528,-0.03860450233489375,271
Graves,-0.08200424688546154,0.0032125685468933655,2184
Lucian,0.080213349962959091,0.0037566187999709764,5235
Gnar,-0.063253321639838891,0.018581868522994507,295
Lux,0.016892226704335954,-0.0012842826513855174,1827
Shyvana,-0.0059245201406227044,0.033873838118150479,269
Renekton,0.023349422246760641,0.0063948200594518166,1558
Fiora,0.049381372625602826,-0.00059872724203730769,1243
Jinx,-0.016519844980570384,0.016251073373326763,1629
Kalista,-0.12299724572391688,0.017940198191501406,431
Fizz,0.094816803514455636,-0.0059199731521403639,1696
Kassadin,0.041689803523286592,-0.0059254006358138199,916
Sona,0.09186438450763372,7.487985082676714e-05,1189
Tahm Kench,-0.12101050152628745,0.0018186948673332263,301
Vladimir,-0.01869023114252108,0.023122352969378156,1066
Viktor,-0.12874261332581513,-0.010767521792536764,711
Rakan,-0.27994565985972591,0.010513533666386696,236
Kindred,-0.080820879626102918,0.04041491244235984,270
Cassiopeia,-0.023017538029146835,0.0064519761710436496,299
Maokai,-0.16129357217969306,-0.0028968120776416868,261
Thresh,-0.011916235401585793,0.013628175423496361,3366
Kayle,0.031421520332450895,-0.017423640127238651,477
Hecarim,-0.071648495736873985,-0.0010699213033244651,859
Lee Sin,0.0051687903339516826,0.010199378367573991,4440
Nunu,-0.037437008934646757,-0.0087680589384285662,336
Olaf,-0.06768902640395974,0.013865919569275239,405
Ziggs,0.01084859222234801,0.015598337347916363,445
Syndra,-0.098891921649769607,-0.00025679264030384303,838
Karma,-0.048361710646964207,-0.0036194103299139152,1407
Annie,0.056380249971956037,0.0073258542183586121,1215
Akali,0.019933296826226351,-0.018432484322094964,531
Leona,-0.0070802717258499929,0.01312460718413787,1123
Yasuo,-0.061565981704619313,0.0033489306181304361,1903
Cho'Gath,-0.12451180780083021,-0.02236186535549211,526
Rengar,-0.14181488024147895,0.02118039241773776,580
Ryze,-0.27704332262066106,0.004608643929504286,328
Shen,-0.027912787519275086,0.038423402711192538,534
Zac,-0.0067341931397999861,-0.0040246355851219703,778
Teemo,0.015899841109463797,0.0081927954797585412,864
Pantheon,0.083703700264591743,0.0014812425204263683,1016
Swain,0.10352264847951433,-0.017254265816628978,537
Bard,-0.023247740456418729,-0.0010607879546321211,693
Sion,0.013382197577862165,-0.024619779497510579,406
Vayne,-0.06115638740993605,0.0044379125664962098,2560
Nasus,0.027934486536002591,-0.0052725530690441039,955
Fiddlesticks,0.000568362916937804,-0.0031907979626970848,340
Udyr,-0.10877032148071909,-0.013888236946959868,340
Rek'Sai,0.071321968594227764,-0.017138486735566439,158
Morgana,-0.035840365966063589,-0.012961450912772912,1456
Ivern,0.13262974221438531,-0.00099475466481367247,579
LeBlanc,-0.098971015025298176,-0.00048124706648722677,595
Caitlyn,0.040859372877304852,0.0095461182956804898,3592
Darius,0.035508535815914476,0.021923790785187337,1566
Nocturne,-0.049683638234124063,0.017352877038649753,470
Zilean,-0.027061037400774444,0.0239064099080326,409
Azir,-0.21537908344471632,0.03496187659570181,150
Rumble,0.0045798503014907307,-0.0065317466711740102,675
Skarner,0.18010449572806048,-0.068183042273585681,107
Kennen,-0.055522014621921495,0.0041022520761061802,588
Urgot,-0.14407716456664776,-0.05127966949655012,52
Wukong,0.011693585235795608,-0.010132849659489121,823
Amumu,0.088421167410753121,-0.0033719700663019025,1307
Galio,-0.012029348456537001,0.0057025612496574242,876
Heimerdinger,-0.17811566043552221,-0.012440744315974797,142
Volibear,-0.035964271741885968,0.040709365715636596,297
Ashe,0.01117290211627428,-0.0016097693913452497,1804
Singed,-0.050666039600652885,0.0140552890582101,300
Taliyah,0.0088454644045733617,-0.015669543321077405,323
Varus,0.03025456270532198,0.015758256368855295,539
Twitch,0.019791891889717774,0.0089911082088025458,1167
Kog'Maw,0.1065426363272986,0.0054246593280899936,934
Garen,-0.045694843923168312,0.010169794977209603,609
