比赛日期,比赛,比赛场次,比赛小场,对阵双方,胜方,战队,队员,位置,所选英雄,击杀,死亡,助攻,击杀小兵数量,击杀中立生物量,在我方野区击杀中立生物,在敌方野区击杀中立生物,获取金钱数,插眼数,拆眼数,购买真眼数,参与推塔数,游戏结束时等级,死亡时长,输出伤害总量,对英雄造成伤害,对英雄造成物理伤害,对英雄造成魔法伤害,承受英雄伤害,承受英雄物理伤害,承受英雄魔法伤害,双杀次数,三杀次数,四杀次数,五杀次数,装备1,装备2,装备3,装备4,装备5,装备6,饰品
2017.01.22	,2017职业联赛	,第一周	,第二场	,VG vs Newbee	,Newbee	,VG	,VGEasyhoon	,MID	,天启者-卡尔玛	,2	,5	,2	,271	,3	,3	,0	,11273	,15	,3	,3	,0	,16	,178	,166104	,9115	,387	,8728	,17108	,8817	,8161	,0	,0	,0	,0	,控制守卫	,雅典娜的邪恶圣杯	,水银之靴	,灭世者的死亡之帽	,卢登的回声	,多兰之戒	,监视图腾（饰品）	
2017.01.22	,2017职业联赛	,第一周	,第二场	,VG vs Newbee	,Newbee	,VG	,VGBengi	,JUNGLE	,虚空遁地兽-雷克塞	,2	,6	,2	,181	,142	,72	,70	,10397	,33	,16	,6	,0	,15	,175	,142556	,3513	,1267	,1995	,33684	,18656	,14884	,0	,0	,0	,0	,守护天使	,附魔：熔渣巨人	,提亚马特	,忍者足具	,巨人腰带	,布甲	,神谕改造	
2017.01.22	,2017职业联赛	,第一周	,第三场	,VG vs Newbee	,Newbee	,Newbee	,NBV	,TOP	,扭曲树精-茂凯	,1	,1	,0	,347	,10	,3	,7	,13975	,19	,5	,2	,1	,18	,0	,222593	,12350	,1828	,10522	,25054	,16074	,5442	,0	,0	,0	,0	,巨人腰带	,冰霜之心	,水银之靴	,守护天使	,日炎斗篷	,振奋盔甲	,监视图腾（饰品）	
2017.01.22	,2017职业联赛	,第一周	,第三场	,VG vs Newbee	,Newbee	,Newbee	,NBSwift	,JUNGLE	,盲僧-李青	,1	,4	,1	,164	,139	,82	,57	,11660	,29	,17	,5	,0	,15	,111	,153780	,5603	,4588	,821	,24226	,16765	,5556	,0	,0	,0	,0	,附魔：战士	,兰顿之兆	,（空）	,海克斯饮魔刀	,水银之靴	,亡者的板甲	,神谕改造	
2017.01.22	,2017职业联赛	,第一周	,第三场	,VG vs Newbee	,Newbee	,Newbee	,NBMor	,SUPPORT	,唤潮鲛姬-娜美	,1	,1	,1	,18	,0	,0	,0	,8786	,74	,16	,21	,0	,13	,44	,7214	,2243	,524	,1718	,5156	,1808	,3023	,0	,0	,0	,0	,活力夹心饼干	,疾行之靴	,晶体护腕	,钢铁烈阳之匣	,守望之眼	,控制守卫	,神谕改造	
2017.01.22	,2017职业联赛	,第一周	,第三场	,VG vs Newbee	,Newbee	,Newbee	,NBHappy	,ADC	,战争女神-希维尔	,0	,3	,2	,431	,18	,12	,6	,15608	,10	,7	,0	,2	,17	,76	,307462	,19341	,19117	,224	,14039	,8165	,5052	,0	,0	,0	,0	,夺萃之镰	,幻影之舞	,无尽之刃	,暴风之剑	,狂战士胫甲	,多米尼克领主的致意	,远见改造	
2017.01.22	,2017职业联赛	,第一周	,第三场	,VG vs Newbee	,Newbee	,Newbee	,NBCool	,MID	,符文法师-瑞兹	,0	,3	,2	,365	,23	,21	,2	,14594	,24	,8	,8	,0	,18	,79	,272306	,4856	,155	,4700	,13870	,5907	,7237	,0	,0	,0	,0	,深渊权杖	,炽天使之拥	,控制守卫	,时光之杖	,虚空之杖	,水银之靴	,远见改造	
2017.01.22	,2017职业联赛	,第一周	,第三场	,VG vs Newbee	,Newbee	,VG	,VGHetong	,SUPPORT	,天启者-卡尔玛	,0	,1	,8	,28	,1	,1	,0	,10749	,52	,19	,14	,0	,15	,31	,25314	,3840	,298	,3131	,7832	,6966	,865	,0	,0	,0	,0	,救赎	,洞察红宝石	,钢铁烈阳之匣	,禁忌雕像	,（空）	,疾行之靴	,神谕改造	
2017.01.22	,2017职业联赛	,第一周	,第三场	,VG vs Newbee	,Newbee	,VG	,VGLoong	,TOP	,暮光之眼-慎	,1	,0	,8	,413	,13	,2	,11	,17541	,25	,6	,4	,1	,18	,0	,257700	,12514	,7194	,4780	,23197	,15788	,7358	,0	,0	,0	,0	,巨型九头蛇	,日炎斗篷	,巨人腰带	,振奋盔甲	,守护天使	,水银之靴	,监视图腾（饰品）	
2017.01.22	,2017职业联赛	,第一周	,第三场	,VG vs Newbee	,Newbee	,VG	,VGEasyhoon	,MID	,暗黑元首-辛德拉	,6	,2	,0	,407	,47	,25	,22	,18690	,22	,6	,5	,0	,18	,20	,332019	,15038	,575	,13650	,9613	,6183	,3333	,0	,0	,0	,0	,中娅沙漏	,虚空之杖	,莫雷洛秘典	,法师之靴	,灭世者的死亡之帽	,卢登的回声	,监视图腾（饰品）	
2017.01.22	,2017职业联赛	,第一周	,第三场	,VG vs Newbee	,Newbee	,VG	,VGXuanXuanPi	,ADC	,惩戒之箭-韦鲁斯	,4	,0	,2	,392	,38	,10	,28	,18063	,20	,11	,6	,5	,18	,0	,296022	,14475	,10963	,1514	,11844	,9456	,2388	,1	,0	,0	,0	,水银弯刀	,破败王者之刃	,暴风之剑	,幻影之舞	,多米尼克领主的致意	,狂战士胫甲	,远见改造	
2017.01.22	,2017职业联赛	,第一周	,第三场	,VG vs Newbee	,Newbee	,VG	,VGBengi	,JUNGLE	,狂战士-奥拉夫	,1	,0	,7	,170	,107	,65	,42	,14159	,26	,32	,6	,2	,17	,0	,184928	,11287	,7086	,647	,30739	,22428	,8262	,0	,0	,0	,0	,振奋盔甲	,正义荣耀	,附魔：熔渣巨人	,明朗之靴	,布甲	,亡者的板甲	,神谕改造	
2017.01.22	,2017职业联赛	,第一周	,第一场	,EDG vs WE	,EDG	,EDG	,EDGKoro1	,TOP	,未来守护者-杰斯	,4	,3	,2	,411	,53	,23	,30	,18138	,19	,4	,3	,2	,18	,70	,300849	,21898	,18507	,3144	,20451	,14491	,5855	,1	,1	,0	,0	,暴风之剑	,多米尼克领主的致意	,守护天使	,水银之靴	,黑色切割者	,玛莫提乌斯之噬	,远见改造	
