英雄,位置,每分钟对英雄伤害,每分钟金钱,平均每击败需要伤害,平均每死亡承受伤害,伤害金钱比,伤害金钱比（占团队比例）,伤害占团队百分比,承伤占团队百分比,击杀,死亡,助攻,胜率,BAN,第一轮ban,第二轮ban,PICK,BAN+PICK
Draven,ADC,465.09479825033065,364.14195430273617,3986.25,3612.0,1.2280499075785583,1.0164858112189943,0.2276036313806098,0.14178049929345266,2.0,5.0,2.0,0.0,0,0,0,1,1
Rengar,Jungle,330.57701412482805,350.7652536191835,1669.2365091105473,16352.498878205126,0.8915401161191014,0.7979052859130858,0.1604455794967847,0.299839525926144,3.3846153846153846,2.826923076923077,4.9423076923076925,0.5576923076923077,50,47,3,52,102
Renekton,Top,366.2152988787389,367.8969794167308,3413.7593115878835,14910.220634920634,0.9377063639634716,0.8972515269748916,0.19429763879410938,0.30485901268652843,2.142857142857143,2.761904761904762,4.190476190476191,0.3333333333333333,13,6,7,21,34
Anivia,Middle,650.1156069368859,383.0419075147276,5998.4,7622.2,1.6505420725331572,1.2455327672747478,0.2980127186009539,0.27842229073216346,2.0,5.0,3.0,0.0,1,0,1,1,2
Shaco,Jungle,260.8742774568359,255.5419075146355,12035.0,6005.333333333333,0.979331109121979,0.739023261946231,0.11958465818759936,0.2632340263876916,1.0,6.0,0.0,0.0,0,0,0,1,1
Sivir,ADC,412.4554878302646,379.38885471059257,3383.9203944203946,10007.472222222223,1.0219593953230537,1.0456187658228135,0.23957487296686628,0.15528988580484446,2.2222222222222223,2.3333333333333335,3.6666666666666665,0.3333333333333333,7,0,7,9,16
Ryze,Middle,391.0068033314893,383.2084506204583,4045.702469256933,8553.938095238094,0.9674549645667362,1.0484748320894566,0.23461233265281073,0.18313817370084956,2.7142857142857144,2.357142857142857,3.142857142857143,0.42857142857142855,52,37,15,28,80
Maokai,Support,155.22715926126332,221.57763354989672,1727.3333333333333,3945.4,0.6561985564138281,0.7643020372087748,0.10979976692446233,0.2091297480096259,0.0,5.0,3.0,0.0,6,1,5,1,7
Kog'Maw,ADC,339.2237136625529,329.58346527210387,3076.2777777777774,4059.2777777777774,0.9726284072771975,1.1821894669341553,0.26620113261025974,0.1467202600432623,2.3333333333333335,3.3333333333333335,1.3333333333333333,0.0,1,0,1,3,4
Aurelion Sol,Middle,587.4004051324611,482.1471978399489,1035.642857142857,9146.0,1.1691799048463833,1.3890174978608587,0.3305293393516619,0.20075948811379152,5.0,1.0,9.0,1.0,7,1,6,1,8
Shen,Top,343.3352656487273,355.8601905992216,3150.0267312988076,15770.419753086418,0.9268716038380612,0.9011846876588637,0.18565981785381935,0.2581821025628934,1.037037037037037,1.962962962962963,6.444444444444445,0.4444444444444444,55,34,21,27,82
