选手,每分钟对英雄伤害,每分钟金钱,平均每击败需要伤害,平均每死亡承受伤害,伤害金钱比,伤害金钱比（占团队比例）,伤害占团队百分比,承伤占团队百分比,击杀,死亡,助攻,胜率,选取英雄频次,赛区,位置,出场次数
Ziv,572.0758105924131,376.5058131264267,2592.1870915032678,16764.0,1.4590997401497146,1.3306708639646596,0.26025219150838325,0.31920485835352297,2.0,2.5,7.5,1.0,Gragas-2 Maokai-2,LMS,Top,4
Hai,467.2617666525745,416.8761328169128,2133.6388888888887,6289.822222222222,1.079634988140675,1.389401542974035,0.3262006478871789,0.19052911945788534,4.333333333333333,2.6666666666666665,3.6666666666666665,0.6666666666666666,Orianna-1 Twisted Fate-1 Zed-1,NALCS,Middle,3
Odoamne,492.52856741350354,409.14104216023196,1631.2152777777778,12347.5,1.154634572465136,1.1669535768537584,0.24881571442476103,0.21717720165123755,2.0,1.0,6.5,1.0,Nautilus-2,EULCS,Top,2
Ian,494.849115515869,367.14684162297175,3046.0111111111114,7638.7666666666655,1.2652494711080498,1.0869848097523902,0.2321638713712077,0.1713398166114881,3.0,2.4,6.0,0.6,Ahri-2 Corki-1 LeBlanc-1 Syndra-1,LCK,Middle,5
SiuSiu,401.8012322459769,343.2505815743684,4451.875,5728.166666666666,1.1428791498741577,1.0336627267719503,0.23345688885354238,0.1380934379542065,2.5,2.5,1.5,0.0,Syndra-1 Taliyah-1,LMS,Middle,2
Stitch,392.3596765081914,375.13337909117973,3265.2181818181816,7468.666666666667,0.9616264950793304,1.0033394899308268,0.21797180697482266,0.10454226991677908,1.3333333333333333,1.3333333333333333,4.333333333333333,0.6666666666666666,Caitlyn-1 Jhin-2,LCK,ADC,3
Cabochard,397.9796787737964,372.5273939097468,1990.6458333333333,8680.333333333334,1.032287274119001,1.0353297534175077,0.24361336045143955,0.24604379967419743,4.0,2.5,3.0,0.0,Camille-1 Olaf-1,EULCS,Top,2
Jay,308.9132548892111,252.98267324249196,2391.083333333333,5498.6,1.1825744254972088,1.000407203716457,0.15420247593716702,0.13502999259758106,1.0,3.5,7.5,0.5,Malzahar-2 Miss Fortune-1 Zyra-1,LMS,Support,4
Reignover,401.9161231605772,355.8706531214719,1455.5162202380952,15511.309523809523,1.0478070792361405,0.9185618520430842,0.19314903449451942,0.32875727547700995,4.5,3.5,7.25,0.5,Kha'zix-3 Rengar-1,NALCS,Jungle,4
UmTi,305.4737226808728,295.9961866127581,2627.648571428572,10535.473333333333,0.967614059071359,0.8014177466426352,0.14736352949628845,0.28189466674139085,1.6,3.8,4.4,0.2,Elise-1 Graves-1 Kha'zix-2 Lee Sin-1,LCK,Jungle,5
Altec,322.4450428318921,384.73608618971633,1772.2651515151513,8680.5,0.8109030528063427,1.026875589435902,0.22391256785726224,0.12889543090107589,3.3333333333333335,1.0,3.6666666666666665,0.6666666666666666,Caitlyn-1 Mordekaiser-2,NALCS,ADC,3
LOFS,524.9280366095189,319.25886873069544,6727.208333333333,10174.25,1.5916828295479384,1.4662062032568581,0.3084634735421615,0.28755213811746466,1.5,3.0,2.0,0.0,Rumble-1 Yorick-1,LMS,Top,2
Moon,275.6064327903711,360.477669090236,1093.6758241758241,13883.666666666666,0.7374143544320537,0.8738865426513572,0.17719134755154894,0.2398057189317453,2.6666666666666665,1.0,6.0,0.6666666666666666,Elise-1 Graves-2,NALCS,Jungle,3
Betsy,381.5679167684109,340.00670952281064,2627.0833333333335,4254.416666666666,1.068287383043247,1.0977163862080346,0.2480853971006482,0.1761636304315483,1.0,3.5,3.5,0.0,Ryze-2,EULCS,Middle,2
brTT RX,501.2443541102077,366.3793343061635,9783.1,6248.416666666666,1.3153753267929948,1.2962093801725296,0.29033059501810227,0.13213020635412293,1.5,2.5,1.0,0.5,Sivir-1 Ziggs-1,CBLoL,ADC,2
Republic,560.6317199153693,392.54296048098155,3084.3436683006535,7902.6611111111115,1.3738750968786553,1.2654611178940727,0.2914248992659803,0.17856714563129208,3.5,2.6666666666666665,6.5,0.5,Cassiopeia-1 Corki-1 Orianna-2 Ryze-2,LPL,Middle,6
xiaoyu,255.66567379121474,310.15094871855086,1201.0185185185185,8755.738888888889,0.7878787282049853,0.722405622934367,0.13357002067369259,0.2922840464112928,2.8333333333333335,3.6666666666666665,5.0,0.5,Elise-1 Kha'zix-2 Rengar-3,LPL,Jungle,6
Mata,145.093449615019,250.5099599072196,1202.0963064713064,7343.863636363636,0.5390804431701944,0.4096559522234133,0.06077135451900225,0.14333243879852384,0.6666666666666666,3.6666666666666665,8.0,0.3333333333333333,Braum-1 Karma-2 Lulu-1 Nami-1 Thresh-1,LCK,Support,6
Cody Sun,652.5371576595902,414.9935115749995,2898.222222222222,7936.733333333334,1.543790061843943,1.2360717212922625,0.2955146862271176,0.16244014310374622,4.0,2.6666666666666665,5.0,0.3333333333333333,Ashe-1 Sivir-2,NALCS,ADC,3
Wisdom,218.62789297327657,290.05132636568374,1806.275,5133.0,0.7189250141602346,0.8533169908831122,0.162412001143481,0.3243824268307761,1.0,5.5,3.5,0.0,Elise-1 Kha'zix-1,EULCS,Jungle,2
pbO,380.68367815731034,366.5802576872413,5922.333333333333,11183.0,1.0112388117394762,0.9462049631925187,0.20953113273308327,0.11381592904888613,0.5,0.5,3.5,0.5,Jhin-2,CBLoL,ADC,2
Stixxay,469.722352177782,357.8645652494649,2739.644761904762,8845.866666666667,1.2305065947421654,1.2098574073967803,0.27123478272281043,0.10520775496556897,3.0,1.0,5.0,0.4,Ezreal-3 Jhin-2,NALCS,ADC,5
West,487.36392953560875,364.42871399777067,3908.3203703703707,6165.625,1.2802927012946175,1.1810447253915415,0.2548676263714146,0.14730561834986935,3.3333333333333335,2.8333333333333335,5.0,0.5,Caitlyn-1 Jhin-4 Varus-1,LPL,ADC,6
Matt,183.11422709308496,250.0795279951162,1526.406484962406,3930.9494047619046,0.7095168670830283,0.6432952043044736,0.09629280105746983,0.14450640716655472,0.5,4.25,9.25,0.5,Karma-2 Malzahar-1 Thresh-1,NALCS,Support,4
Trashy,253.67485576166524,383.0223418327304,825.8787878787879,11497.833333333334,0.6181465862666482,0.7027143724856382,0.13932314765476184,0.2858923240697014,2.5,2.0,6.0,1.0,Elise-2,EULCS,Jungle,2
Expession,471.87386439183956,344.5414574823618,2413.705128205128,14665.666666666668,1.314598255932021,1.1378342046936596,0.22957164726472906,0.2862770804534662,2.4,3.0,6.8,0.4,Maokai-2 Nautilus-1 Renekton-1 Rumble-1,LCK,Top,5
Mlxg,262.974273679811,343.2431519264036,875.6527639027639,15245.783333333335,0.7344818445587779,0.7897758838312381,0.14854858629739792,0.29091184407336457,3.6,2.0,7.6,0.8,Elise-1 Kha'zix-3 Rengar-1,LPL,Jungle,5
Ruler,534.1293876358553,410.5064806432729,4520.8,11094.5,1.2585577533063947,1.2105306933473634,0.27174285428068873,0.14105046729643178,4.0,1.0,2.0,1.0,Caitlyn-1 Jhin-1,LCK,ADC,2
Ninuo,462.1315544243155,346.3065459603223,4911.484848484849,18433.25,1.2712555538707015,1.2357537316237095,0.28693999916351537,0.3133412165433159,1.5,2.25,3.0,0.0,Maokai-1 Poppy-1 Renekton-2,LMS,Top,4
Kabe,326.0997184698768,428.99634436789756,1037.5420168067226,20671.5,0.7354277070139581,0.5985280691488064,0.1365049253382772,0.2563948695928214,3.0,2.0,12.5,1.0,Shen-2,LPL,Top,2
BocaJunior,208.55932486962598,214.21872385679126,1213.775,4868.433333333333,0.9233622214410651,0.77482813023875,0.11465037276709308,0.19049716888693807,0.0,4.0,6.5,0.0,Karma-1 Tahm Kench-1,CBLoL,Support,2
imp,452.78724921018676,382.9189283465208,3404.5791666666664,5552.972222222223,1.1112058030829246,1.1375166772482082,0.2653718965487101,0.14332712541322237,2.6666666666666665,2.8333333333333335,3.6666666666666665,0.3333333333333333,Caitlyn-2 Jhin-2 Varus-2,LPL,ADC,6
LBB,642.9891302174356,379.5659167631603,2463.6949999999997,8837.6,1.611928107289081,1.2527888034302024,0.28668138624597106,0.09493058767603366,5.6,1.0,6.6,0.2,Ashe-2 Jhin-2 Varus-1,LMS,ADC,5
XuanXuanPi,472.8343046818961,378.56397018138864,3386.0333333333333,10024.166666666666,1.206867873417865,1.1641635253726432,0.28179513639580606,0.146356432838132,1.5,1.5,4.0,0.0,Caitlyn-1 Sivir-1,LPL,ADC,2
Wind,271.62776021852704,288.86726663982546,3715.3333333333335,9881.82380952381,0.8887433641027951,0.8821294946187537,0.17418153515099752,0.2480530345808948,3.0,4.0,1.75,0.0,Elise-1 Graves-1 Kha'zix-1 Lee Sin-1,LMS,Jungle,4
Hjarnan,287.7287612647778,327.84236804321534,3378.833333333333,6756.0,0.8329320099694104,0.8517276370157791,0.18675940339945057,0.11513775480707067,1.0,1.5,1.5,0.0,Ashe-2,EULCS,ADC,2
meiko,167.27139363278116,250.0171780211062,837.3475191475193,6610.74,0.6461505283397327,0.7067162006297567,0.10294757427436478,0.1339219270357466,1.0,2.2,9.2,0.4,Karma-1 Lulu-1 Malzahar-1 Nami-2,LPL,Support,5
Ninja,344.3460299356489,374.1563342169048,2675.6439393939395,5299.333333333333,0.8386450942674766,0.8152082679321068,0.17671464092323555,0.19912704961261793,1.3333333333333333,3.3333333333333335,4.0,0.3333333333333333,Jayce-1 Ryze-1 Talon-1,NALCS,Middle,3
Ziriguidun,59.6299841650749,247.81223119721,1136.375,15386.75,0.23089962037973583,0.30934865054432853,0.043204903051887976,0.1546963614888192,0.5,1.5,2.5,0.5,Nami-1 Tahm Kench-1,CBLoL,Support,2
Alphari,447.5880048471134,405.6193519435712,1735.9921212121212,11455.9,1.0554405957266184,0.977564307022878,0.21868959168639246,0.27027212191816297,4.4,2.6,5.8,0.8,Fiora-1 Renekton-2 Rumble-2,EULCS,Top,5
Minerva,200.1654049159369,292.4849151950875,1731.5892857142858,27965.0,0.6570057336140283,0.6278549643695264,0.11130390327859589,0.3693891824875804,2.0,1.5,3.5,0.5,Rek'Sai-2,CBLoL,Jungle,2
SofM,259.22124780409877,228.16294164261984,3082.75,5046.25,1.067251184801822,1.4044023238074677,0.21977231851201018,0.14176954800615366,0.5,2.5,3.5,0.0,Lulu-1 Zyra-1,LPL,Support,2
V,200.17068433083446,321.365560007168,1519.0,12640.0,0.5943948237655421,0.8161882681677797,0.17347489816973086,0.24125058181480508,2.0,2.0,2.5,0.0,Maokai-1 Shen-1,LPL,Top,2
GimGoon,418.3762433472425,373.79090790265474,2343.09375,11636.208333333334,1.0460951127157239,0.9603949121637488,0.21510193355221752,0.23409988973237097,3.6666666666666665,2.3333333333333335,6.333333333333333,0.5,Camille-1 Kled-1 Maokai-1 Rumble-2 Shen-1,LPL,Top,6
Cabuloso,108.14828640699824,257.3531187761963,562.1428571428571,12553.375,0.40022174038439534,0.38860373867336484,0.058628568993973666,0.24188670619942926,0.5,4.5,8.5,0.5,Nautilus-1 Thresh-1,CBLoL,Support,2
