gameid,url,league,split,date,week,game,patchno,playerid,side,position,player,team,champion,ban1,ban2,ban3,gamelength,result,k,d,a,teamkills,teamdeaths,doubles,triples,quadras,pentas,fb,fbvictim,fbtime,kpm,okpm,ckpm,fd,fdtime,teamdragkills,oppdragkills,elementals,oppelementals,firedrakes,waterdrakes,earthdrakes,airdrakes,elders,oppelders,herald,heraldtime,ft,fttime,firstmidouter,firsttothreetowers,teamtowerkills,opptowerkills,fbaron,fbarontime,teambaronkills,oppbaronkills,dmgtochamps,dmgtochampsperminute,dmgshare,earnedgoldshare,wards,wpm,wardshare,wardkills,wcpm,visionwards,visionwardbuys,visiblewardclearrate,invisiblewardclearrate,totalgold,earnedgpm,goldspent,gspd,minionkills,monsterkills,monsterkillsownjungle,monsterkillsenemyjungle,cspm,cssharepost15,csat10,oppcsat10,csdat10,goldat10,oppgoldat10,gdat10,goldat15,oppgoldat15,gdat15,xpat10,oppxpat10,xpdat10
30267,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT06/30267?gameHash=5cf0893182b9e113&tab=overview,LCK,2017-1,42752.0905439815,1.1,1,7.01,100,Blue,Team,Team,ROX Tigers,,Jayce,Rengar,Lee Sin,46.4666666667,0,13,12,32,13,12,,,,,1,0,13.7238833333,0.2797704448,0.2582496413,0.5380200861,0,20.0583833333,0,4,0,3,0,0,0,0,0,1,,,0,18.0562333333,0,0,4,11,0,32.2174,0,2,94018,2023.3428981349,,,199,4.2826398852,1,75,1.6140602582,55,57,0.5614035088,0.3307692308,79203,1065.0516499283,76400,-0.1486417719,1342,209,139,70,33.3787661406,,305,301,4,14330,14759,-429,22533,22497,36,17904,18332,-428
30267,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT06/30267?gameHash=5cf0893182b9e113&tab=overview,LCK,2017-1,42752.0905439815,1.1,1,7.01,200,Red,Team,Team,KT Rolster,,LeBlanc,Camille,Zyra,46.4666666667,1,12,13,28,12,13,,,,,0,1,13.7238833333,0.2582496413,0.2797704448,0.5380200861,1,20.0583833333,4,0,3,0,0,0,1,2,1,0,,,1,18.0562333333,1,1,11,4,1,32.2174,2,0,112397,2418.8737446198,,,187,4.0243902439,1,62,1.3342898135,39,40,0.5593220339,0.2071428571,88307,1260.9770444763,88668,0.1486417719,1228,233,122,111,31.4418938307,,301,305,-4,14759,14330,429,22497,22533,-36,18332,17904,428
30279,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT06/30279?gameHash=2cbf09c183061635&tab=overview,LCK,2017-1,42752.167662037,1.1,2,7.01,1,Blue,Top,Smeb,KT Rolster,Fiora,Maokai,Malzahar,Elise,44.0166666667,1,6,4,2,16,12,0,0,0,0,0,0,7.3656666667,0.136312003,0.0454373343,0.6361226808,0,11.7172166667,3,2,0,0,0,0,0,0,0,0,,,1,12.38695,0,1,10,2,1,27.1295333333,2,0,26137,593.7978038622,0.2811820901,0.2476271596,24,0.5452480121,0.128342246,7,0.1590306702,2,3,,,20179,330.242180992,19775,0.324761205,394,32,10,22,9.6781522151,0.286121673,70,78,-8,3484,3076,408,5488,4938,550,4338,4634,-296
30279,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT06/30279?gameHash=2cbf09c183061635&tab=overview,LCK,2017-1,42752.167662037,1.1,2,7.01,2,Blue,Jungle,Score,KT Rolster,Rek'Sai,Maokai,Malzahar,Elise,44.0166666667,1,1,3,9,16,12,0,0,0,0,0,1,7.3656666667,0.0227186672,0,0.6361226808,1,11.7172166667,3,2,2,1,0,0,1,1,0,1,,,1,12.38695,0,1,10,2,1,27.1295333333,2,0,8468,192.3816736085,0.0910988231,0.1834723978,35,0.795153351,0.1871657754,25,0.5679666793,9,9,,,16413,244.6836804241,13750,0.1739130435,68,194,111,83,5.9522907989,0.1625475285,57,51,6,3212,3323,-111,4928,4992,-64,3944,3440,504
30279,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT06/30279?gameHash=2cbf09c183061635&tab=overview,LCK,2017-1,42752.167662037,1.1,2,7.01,3,Blue,Middle,Pawn,KT Rolster,Ryze,Maokai,Malzahar,Elise,44.0166666667,1,2,1,11,16,12,0,0,0,0,0,0,7.3656666667,0.0454373343,0.1590306702,0.6361226808,0,11.7172166667,3,2,0,0,0,0,0,0,0,0,,,1,12.38695,0,1,10,2,1,27.1295333333,2,0,22892,520.0757288906,0.2462723498,0.2126197152,29,0.658841348,0.1550802139,7,0.1590306702,7,9,,,18124,283.5553199546,16125,-0.0973451327,341,39,15,24,8.6330935252,0.2433460076,74,83,-9,3472,3595,-123,5362,5634,-272,4762,4541,221
30279,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT06/30279?gameHash=2cbf09c183061635&tab=overview,LCK,2017-1,42752.167662037,1.1,2,7.01,4,Blue,ADC,Deft,KT Rolster,Varus,Maokai,Malzahar,Elise,44.0166666667,1,6,2,5,16,12,1,0,0,0,0,0,7.3656666667,0.136312003,0.0681560015,0.6361226808,0,11.7172166667,3,2,1,0,0,0,0,1,0,0,,,1,12.38695,0,1,10,2,1,27.1295333333,2,0,29142,662.0673987126,0.3135099081,0.2475419834,24,0.5452480121,0.128342246,13,0.2953426732,7,7,,,20174,330.1285876562,19725,0.046692607,422,19,3,16,10.0189322226,0.2851711027,90,80,10,3259,3036,223,5531,4917,614,3152,3461,-309
30279,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT06/30279?gameHash=2cbf09c183061635&tab=overview,LCK,2017-1,42752.167662037,1.1,2,7.01,5,Blue,Support,Mata,KT Rolster,Tahm Kench,Maokai,Malzahar,Elise,44.0166666667,1,1,2,10,16,12,0,0,0,0,0,0,7.3656666667,0.0227186672,0,0.6361226808,0,11.7172166667,3,2,0,0,0,0,0,0,0,0,,,1,12.38695,0,1,10,2,1,27.1295333333,2,0,6315,143.4683831882,0.067936829,0.108738744,75,1.7039000379,0.4010695187,18,0.4089360091,19,20,,,12026,145.0168875426,10870,0.0279850746,47,1,0,1,1.0904960242,0.0228136882,15,2,13,2047,1889,158,3496,3185,311,2440,2446,-6
30279,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT06/30279?gameHash=2cbf09c183061635&tab=overview,LCK,2017-1,42752.167662037,1.1,2,7.01,6,Red,Top,Lindarang,ROX Tigers,Poppy,LeBlanc,Camille,Rengar,44.0166666667,0,2,3,4,12,16,0,0,0,0,0,0,7.3656666667,0.0454373343,0.136312003,0.6361226808,0,11.7172166667,2,3,0,0,0,0,0,0,0,0,,,0,12.38695,1,0,2,10,0,27.1295333333,0,2,19239,437.084437713,0.2422315673,0.1989579285,30,0.6815600151,0.1435406699,3,0.0681560015,8,8,,,14960,211.6734570239,14250,-0.324761205,345,0,0,0,7.8379401742,0.2144288577,78,70,8,3076,3484,-408,4938,5488,-550,4634,4338,296
30279,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT06/30279?gameHash=2cbf09c183061635&tab=overview,LCK,2017-1,42752.167662037,1.1,2,7.01,7,Red,Jungle,Seonghwan,ROX Tigers,Lee Sin,LeBlanc,Camille,Rengar,44.0166666667,0,0,4,7,12,16,0,0,0,0,0,0,7.3656666667,0,0.0227186672,0.6361226808,0,11.7172166667,2,3,1,2,0,0,0,1,1,0,,,0,12.38695,1,0,2,10,0,27.1295333333,0,2,7535,171.1851571374,0.0948705681,0.1382060141,42,0.9541840212,0.2009569378,23,0.5225293449,14,15,,,12115,147.0388489209,11550,-0.1739130435,35,118,75,43,3.4759560772,0.0791583166,51,57,-6,3323,3212,111,4992,4928,64,3440,3944,-504
30279,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT06/30279?gameHash=2cbf09c183061635&tab=overview,LCK,2017-1,42752.167662037,1.1,2,7.01,8,Red,Middle,Mickey,ROX Tigers,Cassiopeia,LeBlanc,Camille,Rengar,44.0166666667,0,7,5,2,12,16,0,0,0,0,1,0,7.3656666667,0.1590306702,0.0454373343,0.6361226808,0,11.7172166667,2,3,0,0,0,0,0,0,0,0,,,0,12.38695,1,0,2,10,0,27.1295333333,0,2,28286,642.6202196138,0.3561392023,0.2684863057,29,0.658841348,0.1387559809,4,0.0908746687,10,11,,,18216,285.6454373343,17775,0.0973451327,395,28,12,16,9.6099962136,0.2925851703,83,74,9,3595,3472,123,5634,5362,272,4541,4762,-221
