选手,每分钟对英雄伤害,每分钟金钱,平均每击败需要伤害,平均每死亡承受伤害,伤害金钱比,伤害金钱比（占团队比例）,伤害占团队百分比,承伤占团队百分比,击杀,死亡,助攻,胜率,选取英雄频次,赛区,位置,出场次数
Hai,711.434784036027,420.3556105879519,2569.7300505050507,5236.083333333334,1.6350925099091995,1.409381856718278,0.32318928720627105,0.1892369132421461,4.5,3.75,6.75,0.75,Corki-1 Jayce-2 LeBlanc-1,NALCS,Middle,4
Odoamne,646.8265423859282,376.33673766880463,4409.806666666667,8147.533333333335,1.6430545389173143,1.3978223141196136,0.2974554990988563,0.24301793887661355,3.0,3.6,4.2,0.6,Maokai-1 Rumble-3 Shen-1,EULCS,Top,5
Ian,518.2674456110864,364.0530670911233,3869.5156045751633,7833.930952380953,1.3547404537920764,1.1232630383350266,0.23720482476851557,0.17897489747634912,3.0,3.5,5.0,0.6666666666666666,Cassiopeia-2 Corki-1 Syndra-2 Zed-1,LCK,Middle,6
Stunt,297.2536456332098,267.8229427533264,2028.5,11071.0,1.0110431462806784,0.9677771962704196,0.15142880572449857,0.17054174943901979,1.5,1.5,4.5,1.0,Nami-1 Zyra-1,NALCS,Support,2
Cabochard,289.2097461376787,338.88259126539424,1435.347222222222,16777.733333333334,0.8092051674705276,0.7376029741519509,0.15385252238609673,0.2904670850004667,0.6666666666666666,2.3333333333333335,7.333333333333333,0.3333333333333333,Shen-3,EULCS,Top,3
Koro1,510.1499423298731,326.159169550173,11057.5,5582.5,1.5106906209440536,1.1566981630149893,0.22646049869438328,0.3589224290352654,1.0,8.0,1.0,0.0,Maokai-1,LPL,Top,1
Reignover,351.7019748203253,360.70657322907886,2359.5063247863245,15220.0,0.8701690534573221,0.8292409708576101,0.18231148475849066,0.27889886996594954,4.4,2.6,4.2,0.2,Graves-2 Ivern-1 Kha'zix-1 Rek'Sai-1,NALCS,Jungle,5
UmTi,318.24644675848793,324.2571072175402,1598.760476190476,12100.733333333334,0.94872156729913,0.7082172268680501,0.13622480038297638,0.2519758565509873,4.0,3.8,5.4,0.2,Elise-1 Graves-1 Kha'zix-2 Rengar-1,LCK,Jungle,5
Altec,550.9097331779859,398.52608226663574,2240.541964285714,6879.958333333333,1.3330347345343871,1.1030960714788645,0.23845968963948022,0.12160896596795448,3.75,2.0,7.0,0.75,Ezreal-1 Jhin-3,NALCS,ADC,4
Matt,166.93228087964417,245.92389390036396,1471.8483333333334,4005.6833333333334,0.6415933739349278,0.6215588286080488,0.09511834470710523,0.15238975380603526,1.0,3.8,7.4,0.2,Karma-2 Nami-2 Zyra-1,NALCS,Support,5
Moon,372.4813676859448,371.34485832382654,1372.266267942584,14726.875,0.9588384561846122,0.783736307754676,0.15975748412094132,0.2633349680863901,6.25,2.0,4.75,0.75,Evelynn-1 Kha'zix-2 Nidalee-1,NALCS,Jungle,4
Betsy,500.57104040899503,408.065428801802,1756.0277777777778,7573.9,1.1970995297988845,1.1289149467752755,0.27457338498579525,0.20356923796285398,7.0,3.5,4.5,0.0,Ryze-1 Zed-1,EULCS,Middle,2
Republic,391.9532891205864,349.46655501316343,4110.689898989899,7122.5,1.0475697151532504,0.9779986288867697,0.2181911485873263,0.184223570238798,3.0,3.4,3.8,0.2,Orianna-1 Ryze-4,LPL,Middle,5
Marge,554.1062114510729,444.9513557340464,1325.6190476190477,13513.5,1.2060232268058302,0.9135208091275628,0.20442065847389868,0.11873781586241655,6.0,1.0,10.5,1.0,Ashe-1 Varus-1,LPL,ADC,2
Mata,251.78588024314536,279.9189618202659,1083.1950757575758,8651.75,0.8438248491535393,0.8245311183364434,0.1238118083164216,0.1567406563806794,0.75,1.0,7.5,1.0,Miss Fortune-1 Tahm Kench-1 Zyra-2,LCK,Support,4
Cody Sun,554.3685121184399,419.7021399874848,2667.160173160173,9957.25,1.2831684082975305,1.5736350103133565,0.35267623748488336,0.1131924034560865,5.25,0.5,6.0,1.0,Miss Fortune-3 Varus-1,NALCS,ADC,4
Wisdom,264.4895791014651,265.6107491617679,5639.25,4389.25,0.9343866407236199,1.0927260302093296,0.21778970593751812,0.29342403845167614,0.5,5.5,0.5,0.0,Graves-1 Kha'zix-1,EULCS,Jungle,2
