英雄,位置,每分钟对英雄伤害,每分钟金钱,平均每击败需要伤害,平均每死亡承受伤害,伤害金钱比,伤害金钱比（占团队比例）,伤害占团队百分比,承伤占团队百分比,击杀,死亡,助攻,胜率,BAN,第一轮ban,第二轮ban,PICK,BAN+PICK
RekSai,Jungle,225.2495966725644,309.6480770725069,1535.6766666666667,16494.57333333333,0.6889838714416239,0.6894626382083247,0.13064868099576207,0.3385539666847392,2.0,3.0,5.4,0.4,1,0,1,5,6
Vel'koz,Support,559.2539325847724,337.6179775283934,1595.3076923076924,8251.0,1.5928571428571427,1.4690507516441655,0.25986767912187053,0.10123926380368098,5.0,0.0,8.0,1.0,0,0,0,1,1
Rengar,Jungle,329.7241355683592,352.8300828865424,1493.91903659612,18169.0787037037,0.8937082644810752,0.809702407402741,0.1589227232939825,0.31057545848093654,3.7777777777777777,2.5555555555555554,5.888888888888889,0.6666666666666666,72,72,0,18,90
Renekton,Top,261.52402108216614,320.32369272465996,4312.75,15017.916666666666,0.782056508651019,0.6962356250150503,0.14367386724210401,0.2771856732860644,0.5,3.5,1.5,0.0,1,0,1,2,3
Azir,Middle,442.3851044490585,391.9722695477089,3221.7130952380953,8386.805555555555,1.098524290727435,1.1231789997409496,0.2626979914786905,0.1570523284050733,2.0,1.6666666666666667,4.166666666666667,0.3333333333333333,0,0,0,6,6
Warwick,Jungle,163.64620603692168,338.7101156007474,688.1071428571429,29822.333333333332,0.47101590279853595,0.4163595015365744,0.07664658422998277,0.3876603151537194,2.5,3.5,8.0,1.0,0,0,0,2,2
Ryze,Middle,380.547765651832,394.2439569239071,2514.329468090832,9323.296717171717,0.9285032391156803,0.9705577865373735,0.22279095023337758,0.1765913926016951,3.1515151515151514,2.3333333333333335,4.181818181818182,0.48484848484848486,40,18,22,33,73
Malzahar,Middle,482.03514507599675,354.6546791993091,1787.1818181818182,10512.5,1.3137530072173216,1.207004249164889,0.2260668575568358,0.16081166869354382,3.0,2.0,8.0,1.0,44,40,4,1,45
Sivir,ADC,454.79711190626176,402.57586218639585,3167.7670515135883,8797.374999999998,1.0686981663929858,1.017081705742632,0.24203865115845336,0.14225349078397284,2.8333333333333335,2.1666666666666665,4.916666666666667,0.5,3,1,2,12,15
Aurelion Sol,Middle,574.1136340108887,424.4091999665593,1818.1708291708292,12253.944444444443,1.3150515535298026,1.1217121427097079,0.25252452133654507,0.16639102113477994,7.0,1.6666666666666667,5.666666666666667,1.0,10,6,4,3,13
Zyra,Support,363.77649088478836,251.3835049972531,2841.6669800041223,4992.3364625850345,1.3708105926540373,1.2552191337234595,0.19256993174037032,0.13331387175196238,1.1714285714285715,3.085714285714286,5.6571428571428575,0.34285714285714286,50,33,17,35,85
Trundle,Top,352.8451758479181,348.4574794492528,2179.060606060606,11417.225,0.9397301905367142,0.6776220745912367,0.15099338620149733,0.3310717543117425,2.0,4.5,5.0,0.5,1,0,1,2,3
Cassiopeia,Middle,452.922149593482,369.0559867068272,3837.3223737623384,9049.6568627451,1.1612059917075508,1.1042832617839358,0.2514675548191595,0.19037127434111809,3.7058823529411766,2.588235294117647,3.411764705882353,0.35294117647058826,24,1,23,17,41
Viktor,Middle,808.2435691981723,406.91440252831234,3067.25632798574,9865.0,1.9108259702026231,1.4752778719758188,0.3431632306167976,0.14704712349469615,6.0,2.0,8.666666666666666,0.6666666666666666,0,0,0,3,3
Miss Fortune,Support,367.4783235653708,269.5512930674132,3730.0096205562118,5836.05046897547,1.30180054906788,1.2227411722548984,0.19663278441067789,0.15259455299487465,1.0909090909090908,3.5454545454545454,5.363636363636363,0.36363636363636365,16,3,13,22,38
Camille,Top,457.2518649739194,396.4125075635814,2040.8158333333333,15698.858333333332,1.099254325294463,1.1779812866414603,0.26723306964970617,0.30137534773340724,4.0,2.2,4.6,0.7,79,78,1,10,89
KhaZix,Jungle,429.25691163871994,343.20886399080143,1665.223111558673,13698.471212121214,1.1772704174739965,1.0129627263713945,0.19804316579266726,0.2777891941401892,4.363636363636363,2.727272727272727,7.2727272727272725,0.6363636363636364,11,11,0,11,22
Camille,Middle,204.53966907102634,283.30080610970157,2678.3333333333335,7108.5,0.6909450511651904,0.8402470056667238,0.15451031671249735,0.3220012683457148,0.0,4.0,3.0,0.0,79,78,1,1,80
Jayce,Top,524.4362033070348,392.591728102771,5831.164996114995,8196.46212121212,1.2934368960333193,1.2178979847214324,0.26936762584049245,0.20954372714499991,2.3636363636363638,2.5454545454545454,4.363636363636363,0.6363636363636364,59,48,11,11,70
Taric,Support,34.24589465154905,227.32518804489314,408.84444444444443,9325.142857142857,0.1455187771104666,0.16392166277930467,0.02318703898119498,0.2117853949855284,0.3333333333333333,2.6666666666666665,8.0,0.6666666666666666,2,0,2,3,5
LeBlanc,Middle,627.0062551381241,371.3147015188132,3338.7918470418467,6266.7,1.605121283608788,1.351475957701248,0.2982096558452655,0.17428266349855842,4.714285714285714,3.4285714285714284,5.714285714285714,0.42857142857142855,84,82,2,7,91
Malzahar,Support,214.13959831443125,262.58087544988297,1093.466544776772,4612.03318903319,0.7815831241357436,0.7616188339003847,0.11366510012054588,0.13292601544690688,1.4242424242424243,3.303030303030303,7.575757575757576,0.696969696969697,44,40,4,33,77
Evelynn,Jungle,375.4046242774566,364.8265895953757,1298.9,9826.0,0.989788920216414,0.9164428685361151,0.19319956567654803,0.24352826003444986,7.0,2.0,3.0,0.0,0,0,0,1,1
Jayce,Middle,643.9940208954232,402.74533316991267,2826.6861176405296,7509.848809523808,1.5353551830727328,1.3721443376504385,0.30403072621057553,0.17766053993965464,4.071428571428571,2.5714285714285716,5.357142857142857,0.6428571428571429,59,48,11,14,73
Orianna,Middle,428.6457105123961,387.30701909828207,2602.513164811379,6715.567857142857,1.0532447312405357,1.0084511430189644,0.2252129238816745,0.13082080427649284,3.0,1.9285714285714286,5.357142857142857,0.5,17,1,16,14,31
Poppy,Top,291.9626300442321,335.9712577609159,2842.7498778998774,14419.866666666667,0.8352839316716297,0.7883407126600169,0.158156928480974,0.25952479522540073,1.4615384615384615,2.076923076923077,4.0,0.38461538461538464,5,0,5,13,18
Leona,Support,90.44822256568779,238.60896445131374,418.0,16033.0,0.35600438009490204,0.44330258222555247,0.05654980480074214,0.19107604666960637,0.0,1.0,7.0,1.0,0,0,0,1,1
Karma,Middle,842.1275289595901,410.85797789996263,2819.3690476190477,8604.125,1.9922591093632671,1.5706891106889402,0.3669341432058151,0.17573157050232616,4.5,2.0,8.5,1.0,11,4,7,2,13
Rek'Sai,Jungle,214.66582218283284,329.77630702989336,1141.0196180555556,22553.797916666666,0.6236271843902311,0.5539407567497224,0.1054904714614135,0.35971670124055627,1.875,2.5,7.25,0.375,0,0,0,8,8
