英雄,位置,每分钟对英雄伤害,每分钟金钱,平均每击败需要伤害,平均每死亡承受伤害,伤害金钱比,伤害金钱比（占团队比例）,伤害占团队百分比,承伤占团队百分比,击杀,死亡,助攻,胜率,BAN,第一轮ban,第二轮ban,PICK,BAN+PICK
Draven,ADC,186.69434353898632,442.2314478459344,999.3333333333334,7127.0,0.4078079303543495,0.6589166970357591,0.15586171042370678,0.11687246847378692,4.0,1.0,2.0,1.0,0,0,0,1,1
Rengar,Jungle,297.09262009371093,339.31968898664974,1704.813327367077,12163.357738095237,0.831211398490691,0.806695197878803,0.15912149279943416,0.3135850403608963,2.825,3.425,5.4,0.55,78,78,0,40,118
Azir,Middle,456.39980093877136,355.39863733958134,3736.3630952380954,5683.645833333333,1.2378725056716648,1.014627738967771,0.2170619038763634,0.19086331339076912,1.5,4.25,3.75,0.25,0,0,0,4,4
Shaco,Jungle,200.86253369250582,304.36657681907883,6210.0,5537.25,0.6266397578203835,0.5348684702405303,0.1077806897269903,0.28608886592611726,0.0,4.0,1.0,0.0,0,0,0,1,1
Camille,Middle,294.7535084560671,344.17416336787034,1050.1538461538462,6215.666666666667,0.8303631165987471,0.7104090296181893,0.1407683900105174,0.2550592612350137,7.0,6.0,6.0,1.0,86,85,1,1,87
Trundle,Top,386.7095310133232,383.16944024176763,2130.125,16673.333333333332,0.9802128271498418,0.7416089844712026,0.17484942695026728,0.38903363795450124,3.0,3.0,5.0,0.0,1,0,1,1,2
Miss Fortune,Support,341.9696168434638,274.8692668982386,2480.405648319934,6993.061111111111,1.1836854655252442,1.1493320978800512,0.1849134572461167,0.13386893800078703,1.2380952380952381,2.4761904761904763,5.904761904761905,0.5238095238095238,12,1,11,21,33
Taliyah,Middle,447.2453171398358,364.00245042619787,2895.540343915344,6713.016666666666,1.1600839410717532,1.1254441553393655,0.25550046492404865,0.1608462244389077,4.0,3.0,2.8333333333333335,0.16666666666666666,3,0,3,6,9
Janna,Support,54.19070552145455,270.534938650202,222.8174603174603,10739.625,0.19302207162438023,0.1538047193842999,0.023647625452933065,0.14876110848396734,0.5,2.5,11.0,1.0,0,0,0,2,2
Ahri,Middle,558.6885959663863,400.71428301324863,2202.4700854700855,11118.833333333332,1.35837068540724,1.077723729791846,0.2376052283887648,0.17523022327950438,3.5,1.5,7.5,1.0,2,0,2,2,4
Jarvan IV,Middle,474.0937344517348,345.6648777733677,1841.375,4785.458333333334,1.3094583723141358,1.2409668025710714,0.26256224228474845,0.1894274649383691,3.0,3.5,7.5,0.0,0,0,0,2,2
Illaoi,Top,717.0491803278688,426.7030965391621,4920.75,8727.0,1.6116433308769345,1.4735074383971856,0.3536800115000359,0.321637857958943,3.0,2.0,1.0,1.0,1,0,1,1,2
Poppy,Top,333.4285558967916,339.71050312739055,2952.7232026143793,15861.947058823527,0.9449731380370006,0.8947385925173585,0.1829711205856024,0.27124999628943786,2.2941176470588234,2.4705882352941178,5.0588235294117645,0.4117647058823529,9,1,8,17,26
Tahm Kench,Support,88.95777880807326,240.08804708264415,774.7058900695265,9524.886147186147,0.3403374492417233,0.3239329838112676,0.04686089604919774,0.19647048049986707,0.45454545454545453,2.909090909090909,5.181818181818182,0.36363636363636365,25,2,23,11,36
Kassadin,Middle,466.57631948009055,357.31279719294594,2756.486928104575,5226.645833333333,1.2177770923963935,1.0908818129752804,0.23614329772041648,0.23536548972953134,3.25,4.5,6.75,0.5,4,0,4,4,8
Varus,Middle,725.240726124704,352.48618784530385,5743.0,4904.0,2.0124397722295226,1.5001921797226032,0.3327153699090435,0.14875120572194686,3.0,5.0,5.0,0.0,70,67,3,1,71
Kennen,Top,384.49789684091627,394.9230608529364,2746.9,6155.3125,0.976091611298757,1.2623046538302534,0.28954557454640256,0.24183182974770495,1.75,3.5,3.75,0.0,10,4,6,4,14
Bard,Support,202.3056104359391,218.67890063848327,689.8880952380952,6946.0,0.8632774525481718,0.7261404500014269,0.10440142707430933,0.15294320039443243,0.6666666666666666,2.6666666666666665,10.0,0.0,1,0,1,3,4
Vladimir,Top,530.1698630131176,390.9698630132702,2015.75,5828.333333333333,1.301323434473854,1.3158999634604278,0.3146905003512606,0.2187456995233508,4.0,3.0,4.0,0.0,0,0,0,1,1
Camille,Jungle,158.45783132545395,296.7903614460692,913.3333333333334,4476.0,0.5091044221479004,0.5184462132356195,0.09985604693963082,0.286035110782461,3.0,7.0,3.0,0.0,86,85,1,1,87
Brand,Support,659.7163730130294,324.21143102735215,1421.4444444444443,2813.0,1.9570139207587578,1.4498188921367752,0.24389685906296174,0.14853509142477822,5.0,7.0,13.0,1.0,0,0,0,1,1
Miss Fortune,ADC,356.5404117294808,364.81164563137935,2575.9007936507937,5610.777777777777,0.9453594610658961,1.0572244238597217,0.2499040269509328,0.13524308730740478,2.3333333333333335,2.3333333333333335,2.3333333333333335,0.0,12,1,11,3,15
Ezreal,ADC,597.4276791606785,392.81710432019173,4390.9700777617445,11901.12037037037,1.4811412817144793,1.29594207051895,0.2908088086515074,0.1443540796122921,2.388888888888889,1.2777777777777777,5.388888888888889,0.5555555555555556,4,1,3,18,22
Karma,Middle,453.30858960811594,392.6723223758141,1187.4166666666667,3919.0,1.1094759791326014,0.9876768021664127,0.20628601210296205,0.17045800530642424,4.0,3.0,8.0,1.0,14,5,9,1,15
Vi,Jungle,133.4913112164297,270.58451816745657,845.0,4872.75,0.4661297440423654,0.39555289227855167,0.06993643646957558,0.20791730670762928,0.0,4.0,5.0,0.0,2,2,0,1,3
Ekko,Middle,471.6921611071363,403.62745307782194,2650.0624819624823,13238.252380952381,1.13077120894907,1.1065334888576868,0.2545226055787857,0.22273783561984142,5.142857142857143,2.142857142857143,3.4285714285714284,0.5714285714285714,19,2,17,7,26
Camille,Top,442.6822274780197,390.25756700713464,1954.7810777846494,10425.923015873017,1.0858718555804205,1.0728412803689449,0.22889289381730923,0.2999147897648126,4.190476190476191,3.0952380952380953,4.714285714285714,0.8571428571428571,86,85,1,21,107
Jayce,Top,473.0268249548169,364.6949661773717,3693.2083333333335,7954.816666666667,1.2375039137615493,1.0791106959307661,0.22965191549033362,0.21020614140642846,2.1666666666666665,2.8333333333333335,4.5,0.6666666666666666,72,63,9,6,78
Malzahar,Support,215.09644392137236,251.43292529594964,1627.104009928887,4660.412014991181,0.8081146861895743,0.8305663491423658,0.12252820100694234,0.13102810531479628,1.0,3.2777777777777777,6.583333333333333,0.5555555555555556,62,55,7,36,98
Tristana,ADC,359.8144876328267,369.302120141669,3394.25,4607.75,0.940561136127468,1.0244460210508128,0.23916221881660765,0.1588345297701635,3.0,4.0,1.0,0.0,0,0,0,1,1
Lucian,ADC,160.911574618121,333.3996944770619,3415.0,7554.25,0.459134597422588,0.6978773793140198,0.15061239246288582,0.1478944703676506,0.0,1.5,1.0,0.0,1,0,1,2,3
Swain,Top,395.69019966321014,295.73347955400254,5692.5,3753.791666666667,1.2617454755043849,1.2273443705600853,0.2434853180508214,0.24661819651687616,1.0,5.0,1.0,0.0,2,0,2,2,4
Gnar,Top,375.2209492638095,411.2356792147391,2183.4285714285716,10381.0,0.8859776244855371,0.9370369028864381,0.21379213876066583,0.2577422825457254,2.0,3.0,5.0,0.0,0,0,0,1,1
Camille,Support,119.59518072300685,220.88674698816473,827.2,3554.4,0.5081705369209977,0.7513809830445016,0.11049959925193695,0.19232309240641943,0.0,5.0,5.0,0.0,86,85,1,1,87
Corki,Middle,604.4684158700009,395.43631248159215,5025.663417494186,8871.576434676435,1.4815843334388776,1.349523419859704,0.3128507606173198,0.1845224111378793,3.282051282051282,2.6666666666666665,3.9743589743589745,0.46153846153846156,18,6,12,39,57
Rumble,Top,533.7865021416966,352.9677723229368,3420.700818565493,7003.605469289164,1.4288655930194023,1.2680561641593333,0.2655680443034381,0.19065112842424412,2.739130434782609,3.608695652173913,5.695652173913044,0.5217391304347826,18,5,13,23,41
Ziggs,ADC,526.4597591568205,408.1013419781854,2207.8300000000004,6042.76,1.2888750904114261,1.2062733109473673,0.2622051057914544,0.11213578894782528,2.2,2.0,7.8,0.8,3,0,3,5,8
Braum,Support,145.89529568725243,258.90690231438924,742.7837912087913,10742.309523809523,0.5265773658323388,0.4859320974556432,0.07141051450485883,0.22088169651223039,0.0,2.857142857142857,10.714285714285714,0.7142857142857143,1,0,1,7,8
Talon,Middle,491.38441434827837,392.7199020078412,1809.7462962962964,12038.0,1.2105885342965583,0.9964281856190124,0.22117460547093715,0.1669804642556978,3.3333333333333335,1.6666666666666667,8.333333333333334,0.6666666666666666,0,0,0,3,3
Cassiopeia,Middle,461.3737034450771,379.7242910403414,2429.1698583467814,8274.75641025641,1.1573793783278525,1.0686180802086942,0.23509626289092017,0.17228495365562607,3.6153846153846154,2.3076923076923075,4.923076923076923,0.6153846153846154,23,1,22,13,36
Kha'zix,Jungle,326.80297406900286,331.46554129866007,1985.4234308746816,14192.488611111108,0.9359600548228412,0.8483456869929118,0.167528673846875,0.2994947244746961,3.3666666666666667,2.933333333333333,4.616666666666666,0.4166666666666667,36,23,13,60,96
