选手,每分钟对英雄伤害,每分钟金钱,平均每击败需要伤害,平均每死亡承受伤害,伤害金钱比,伤害金钱比（占团队比例）,伤害占团队百分比,承伤占团队百分比,击杀,死亡,助攻,胜率,选取英雄频次,赛区,位置,出场次数
Mouse,345.880986859334,268.7880920170599,1633.0541310541312,16515.277777777777,1.1669831446938137,1.0,0.20000000000000004,0.2908204906488721,3.6666666666666665,4.666666666666667,7.666666666666667,0.6666666666666666,Maokai-1 Nautilus-1 Rumble-1,LPL,Top,3
Ohq,321.31401688999387,384.4546769306213,1631.853787878788,7572.5,0.8116645400291163,1.0,0.2,0.09200519720074683,3.5,0.0,5.25,1.0,Ezreal-4,LPL,ADC,4
Ray,650.7200193210059,399.15430607111375,2059.595238095238,8450.866666666667,1.576965424136695,1.092099568038785,0.23901340768687387,0.26425046898888127,3.3333333333333335,3.6666666666666665,8.333333333333334,0.6666666666666666,Camille-1 Renekton-1 Rumble-1,NALCS,Top,3
Vizicsacsi,447.1687609931243,404.22216762683365,2933.094017094017,21299.80555555556,1.0662078570803315,1.0746126252144963,0.23524166109303338,0.36467194739346315,4.333333333333333,2.6666666666666665,4.333333333333333,0.6666666666666666,Renekton-1 Shen-1 Trundle-1,EULCS,Top,3
Envy,593.7995467243761,467.0944984425817,1493.892857142857,6787.333333333333,1.2244005481540108,1.2443563449006565,0.29188964337423584,0.16175164844188974,6.5,2.0,4.5,1.0,Jayce-1 Syndra-1,CBLoL,Middle,2
AoD,252.2571019364722,254.89173580332698,2302.4866666666667,7294.333333333333,0.9500192073981426,0.9173873847665346,0.13502445088532067,0.1142711043055887,0.6,1.4,6.0,0.4,Brand-1 Karma-1 Malzahar-2 Zilean-1,EULCS,Support,5
Dardoch,412.4564035811418,394.8322800872951,2039.7483405483406,13137.86,1.01444140008335,0.9931377451763991,0.2054707790423531,0.3413896857357017,4.8,2.2,5.2,0.6,Gragas-1 Graves-1 Rengar-3,NALCS,Jungle,5
SkuLL,116.22736404442213,210.20128233118447,1147.2333333333333,3987.8333333333335,0.5155977151430959,0.6328623768064112,0.08945801306526159,0.1538242306672456,0.0,3.0,4.0,0.0,Karma-2,LMS,Support,2
Sneaky,704.3349500006942,395.5894983649049,2730.9226773226774,9584.133333333333,1.7135084793941122,1.2507032871846833,0.2731653723949822,0.12943587992502667,3.4,1.6,7.6,0.6,Ezreal-3 Jayce-1 Jhin-1,NALCS,ADC,5
Peanut,214.15755954891821,362.3407296660579,906.6171085858587,27298.875,0.567269727059495,0.49449044036351264,0.0954272903491459,0.32284436874199307,2.5,1.25,6.5,1.0,Graves-1 Lee Sin-1 Rengar-2,LCK,Jungle,4
mithy,163.01417180018237,242.66048908895618,1789.4333333333332,6392.444444444445,0.6699518624545154,0.6147771266686566,0.08578913447364554,0.10152271787602207,0.3333333333333333,1.0,7.0,0.6666666666666666,Lulu-2 Malzahar-1,EULCS,Support,3
Karsa,312.90507753772926,386.9294364856012,1078.4027777777778,23125.25,0.7911016404432489,0.7531081503357456,0.15069172666853897,0.3225675281346392,4.5,0.5,4.75,1.0,Kha'zix-2 Lee Sin-1 Rengar-1,LMS,Jungle,4
Mylon,402.6876606476178,373.2561268506248,2248.483333333333,14615.0,1.0354702254377375,1.0295340827343555,0.2120761134682388,0.26802837492211196,4.0,2.0,4.0,1.0,Gragas-1 Nautilus-1,CBLoL,Top,2
Zven,658.5430189689909,441.2513151125392,3446.522222222222,10650.333333333334,1.3970746816671664,1.2878492346458705,0.3160483438112021,0.16754293019317168,4.0,1.0,5.0,0.6666666666666666,Ezreal-2 Jhin-1,EULCS,ADC,3
Kobbe,468.39311224450756,357.98891587676206,5731.444444444444,6219.333333333333,1.2850687801001734,1.3224765720884064,0.29018906533053374,0.12223207080891492,1.6666666666666667,2.0,2.3333333333333335,0.3333333333333333,Caitlyn-1 Sivir-1 Ziggs-1,EULCS,ADC,3
Tay,398.74069833955497,368.7922152256797,1161.0,6973.0,1.0331019754404698,1.1057443270669616,0.2129806281185794,0.28143414502892505,5.0,3.0,5.0,1.0,Elise-1,CBLoL,Jungle,1
MaRin,503.0431470577616,390.22023738073955,1843.2005555555556,16168.3,1.2320500226338171,1.0793825542861348,0.2264194210789064,0.2682958201718509,2.8,1.8,8.0,0.8,Maokai-1 Nautilus-3 Rumble-1,LCK,Top,5
HappyY,322.24595213323096,343.67834246857024,2584.660714285714,7538.833333333333,0.8740770952340102,1.0,0.2,0.15813513986260375,1.25,2.0,3.25,0.25,Ashe-1 Ezreal-1 Sivir-2,LPL,ADC,4
takeshi,462.9372135006376,402.05805392294883,1707.5384615384614,15859.25,1.1299099873361338,0.9423047188274072,0.20757882178700984,0.14408979428508778,5.5,1.5,9.0,1.0,Ahri-1 Orianna-1,CBLoL,Middle,2
Hylissang,305.216664076189,286.6306538997931,2668.299145299145,7443.86111111111,1.0284067846428993,1.0535159954179794,0.1646181986576449,0.12337243499461881,0.6666666666666666,2.6666666666666665,7.666666666666667,0.6666666666666666,Malzahar-1 Zilean-1 Zyra-1,EULCS,Support,3
